UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Failure_Type,Temp_Diff,Power_W,Tool_Wear_Speed_Ratio
2463,L49642,L,298.9,308.5,1742,34.5,117,0,0,0,0,0,0,No Failure,9.600000000000023,6293.552562936432,0.06716417871891976
2464,L49643,L,298.9,308.5,1580,39.1,119,0,0,0,0,0,0,No Failure,9.600000000000023,6469.377031782342,0.0753164552195161
2465,M17324,M,298.9,308.5,1534,42.9,121,0,0,0,0,0,0,No Failure,9.600000000000023,6891.460476767642,0.07887874785607074
2466,L49645,L,298.9,308.6,1481,40.7,124,0,0,0,0,0,0,No Failure,9.700000000000045,6312.161263421196,0.08372721077834429
2467,L49646,L,299.0,308.6,1429,37.7,126,0,0,0,0,0,0,No Failure,9.600000000000023,5641.598783487966,0.08817354731858959
2468,M17327,M,298.9,308.6,1574,33.5,128,0,0,0,0,0,0,No Failure,9.700000000000045,5521.76796770454,0.08132147343506052
2469,M17328,M,298.9,308.6,1524,40.4,131,0,0,0,0,0,0,No Failure,9.700000000000045,6447.553434815403,0.08595800468531493
2470,L49649,L,299.0,308.7,1507,37.5,134,0,0,0,0,0,0,No Failure,9.699999999999989,5917.975161199773,0.08891838029914811
2471,L49650,L,298.9,308.5,1467,44.7,136,0,0,0,0,0,0,No Failure,9.600000000000023,6866.987469996178,0.09270620250370687
2472,L49651,L,298.9,308.4,1301,51.1,138,0,0,0,0,0,0,No Failure,9.5,6961.884512085613,0.10607225129844541
2473,L49652,L,298.9,308.5,1429,55.1,140,0,0,0,0,0,0,No Failure,9.600000000000023,8245.413606636259,0.09797060813176621
2474,M17333,M,298.9,308.5,1555,37.6,142,0,0,0,0,0,0,No Failure,9.600000000000023,6122.754642336267,0.0913183273870204
2475,L49654,L,298.9,308.5,1503,40.6,145,0,0,0,0,0,0,No Failure,9.600000000000023,6390.187952960855,0.09647371858633587
2476,L49655,L,298.9,308.5,1459,43.1,147,0,0,0,0,0,0,No Failure,9.600000000000023,6585.081889214053,0.100753940364949
2477,H31890,H,298.9,308.4,1449,42.4,149,0,0,0,0,0,0,No Failure,9.5,6433.730427139609,0.10282953690248767
2478,L49657,L,298.9,308.5,1387,57.3,154,0,0,0,0,0,0,No Failure,9.600000000000023,8322.61301011047,0.1110310013624297
2479,M17338,M,298.9,308.5,1456,50.0,156,0,0,0,0,0,0,No Failure,9.600000000000023,7623.59817271123,0.10714285640698588
2480,L49659,L,299.0,308.5,1604,34.7,159,0,0,0,0,0,0,No Failure,9.5,5828.575906254119,0.0991271814268879
2481,L49660,L,299.0,308.6,1734,32.4,161,0,0,0,0,0,0,No Failure,9.600000000000023,5883.323394230677,0.09284890373212859
2482,L49661,L,299.0,308.6,1378,47.8,163,0,0,0,0,0,0,No Failure,9.600000000000023,6897.722718123797,0.11828737214595521
2483,L49662,L,298.9,308.7,1504,41.8,165,0,0,0,0,0,0,No Failure,9.800000000000011,6583.437789058674,0.10970744607907283
2484,M17343,M,298.9,308.7,1402,49.8,167,0,0,0,0,0,0,No Failure,9.800000000000011,7311.491414552597,0.11911554836579495
2485,H31898,H,298.8,308.6,1524,37.7,170,0,0,0,0,0,0,No Failure,9.800000000000011,6016.652586449029,0.11154855569850029
2486,L49665,L,298.8,308.6,1593,35.5,175,0,0,0,0,0,0,No Failure,9.800000000000011,5922.059231649439,0.10985561764057993
2487,M17346,M,298.9,308.7,1772,28.4,177,0,0,0,0,0,0,No Failure,9.800000000000011,5270.000732445854,0.09988713261914711
2488,H31901,H,298.9,308.6,1623,31.0,180,0,0,0,0,0,0,No Failure,9.700000000000045,5268.7650393354415,0.11090572944605219
2489,L49668,L,298.9,308.7,1356,50.7,185,0,0,0,0,0,0,No Failure,9.800000000000011,7199.399388672514,0.13643067745995077
2490,H31903,H,298.9,308.7,1500,41.6,187,0,0,0,0,0,0,No Failure,9.800000000000011,6534.51271946677,0.12466666583555557
2491,H31904,H,299.1,308.8,1566,46.6,192,0,0,0,0,0,0,No Failure,9.699999999999989,7641.986961710243,0.12260536320175375
2492,L49671,L,299.1,308.9,1445,43.4,197,0,0,0,0,0,0,No Failure,9.799999999999955,6567.2900028192225,0.13633217898732056
2493,H31906,H,299.0,308.8,1382,58.5,199,0,0,0,0,0,0,No Failure,9.800000000000011,8466.278042159132,0.14399421024606215
2494,M17353,M,299.0,308.8,1418,45.7,204,0,0,0,0,0,0,No Failure,9.800000000000011,6786.112403117264,0.14386459701082796
2495,L49674,L,299.1,308.8,1329,53.6,207,1,0,0,0,1,0,OSF,9.699999999999989,7459.648924095893,0.1557562065029631
2496,M17355,M,299.1,308.8,1491,41.0,209,0,0,0,0,0,0,No Failure,9.699999999999989,6401.623350219921,0.14017437867086266
2497,M17356,M,299.2,308.9,1573,37.4,212,0,0,0,0,0,0,No Failure,9.699999999999989,6160.684137640607,0.13477431573570048
2498,M17357,M,299.2,308.9,1521,42.3,215,0,0,0,0,0,0,No Failure,9.699999999999989,6737.491020815206,0.14135437119425134
2499,L49678,L,299.1,308.9,1467,47.2,218,0,0,0,0,0,0,No Failure,9.799999999999955,7251.0471718975305,0.1486025893074125
2500,M17359,M,299.1,308.9,1325,48.4,220,0,0,0,0,0,0,No Failure,9.799999999999955,6715.677895823781,0.16603773459594162
2501,L49680,L,299.1,308.9,1617,32.3,223,0,0,0,0,0,0,No Failure,9.799999999999955,5469.418562120221,0.13790970848540687
2502,M17361,M,299.1,308.9,1476,42.7,225,0,0,0,0,0,0,No Failure,9.799999999999955,6599.983510367581,0.15243902335745918
2503,L49682,L,299.2,309.0,1515,48.9,228,1,0,0,0,1,0,OSF,9.800000000000011,7758.005978407315,0.15049504851158385
2504,L49683,L,299.2,309.0,1408,47.2,0,0,0,0,0,0,0,No Failure,9.800000000000011,6959.4235978403,0.0
2505,L49684,L,299.2,309.1,1468,45.6,2,0,0,0,0,0,0,No Failure,9.900000000000034,7010.0241835141205,0.0013623978108828487
2506,L49685,L,299.2,309.1,1387,48.7,4,0,0,0,0,0,0,No Failure,9.900000000000034,7073.494827092146,0.002883922113309862
2507,M17366,M,299.2,309.1,1503,34.7,6,0,0,0,0,0,0,No Failure,9.900000000000034,5461.564580486248,0.003992015941503554
2508,H31921,H,299.2,309.1,1410,47.1,9,0,0,0,0,0,0,No Failure,9.900000000000034,6954.543657251725,0.006382978678134903
2509,L49688,L,299.0,308.9,1615,30.6,14,0,0,0,0,0,0,No Failure,9.899999999999977,5175.145578258466,0.008668730596478448
2510,L49689,L,299.0,308.9,1511,35.9,16,0,0,0,0,0,0,No Failure,9.899999999999977,5680.512644490432,0.010589013828001233
2511,L49690,L,299.1,309.0,1405,53.8,18,0,0,0,0,0,0,No Failure,9.899999999999977,7915.661569739962,0.012811387809171617
2512,M17371,M,299.0,308.9,1526,41.1,20,0,0,0,0,0,0,No Failure,9.899999999999977,6567.876433447893,0.013106159809265008
2513,L49692,L,298.9,308.8,1530,38.3,23,0,0,0,0,0,0,No Failure,9.900000000000034,6136.472930256942,0.015032679640309283
2514,L49693,L,299.0,308.7,1583,32.5,25,0,0,0,0,0,0,No Failure,9.699999999999989,5387.569601518696,0.015792798384126353
2515,L49694,L,298.9,308.6,2069,18.7,27,0,0,0,0,0,0,No Failure,9.700000000000045,4051.638741506172,0.01304978244055204
2516,L49695,L,298.8,308.5,1490,35.0,29,0,0,0,0,0,0,No Failure,9.699999999999989,5461.135229490257,0.0194630871176974
2517,L49696,L,298.8,308.5,1736,29.0,31,0,0,0,0,0,0,No Failure,9.699999999999989,5272.011351744151,0.01785714275427913
2518,L49697,L,298.8,308.5,1395,44.4,33,0,0,0,0,0,0,No Failure,9.699999999999989,6486.132192601486,0.02365591380891818
2519,M17378,M,298.9,308.6,1425,49.6,35,0,0,0,0,0,0,No Failure,9.700000000000045,7401.592291857553,0.024561403336411203
2520,L49699,L,298.8,308.6,1631,32.4,38,0,0,0,0,0,0,No Failure,9.800000000000011,5533.852627445348,0.023298589679346476
2521,L49700,L,298.8,308.6,1535,41.2,40,0,0,0,0,0,0,No Failure,9.800000000000011,6622.686753277523,0.02605863175206103
2522,L49701,L,298.8,308.6,1584,34.4,42,0,0,0,0,0,0,No Failure,9.800000000000011,5706.137568568212,0.026515151347757882
2523,M17382,M,298.8,308.7,1543,38.2,44,0,0,0,0,0,0,No Failure,9.899999999999977,6172.454638116058,0.02851587797462166
2524,L49703,L,298.8,308.7,1635,35.2,47,0,0,0,0,0,0,No Failure,9.899999999999977,6026.831346646659,0.028746177194212984
2525,M17384,M,298.8,308.7,1446,45.5,49,0,0,0,0,0,0,No Failure,9.899999999999977,6889.826848587775,0.03388658344476775
2526,M17385,M,298.8,308.6,1598,35.1,52,0,0,0,0,0,0,No Failure,9.800000000000011,5873.7101207106925,0.032540675641172245
2527,L49706,L,298.8,308.6,1501,35.0,55,0,0,0,0,0,0,No Failure,9.800000000000011,5501.452335211326,0.036642238263542716
2528,L49707,L,298.8,308.5,1450,50.8,57,0,0,0,0,0,0,No Failure,9.699999999999989,7713.657162114138,0.03931034455648038
2529,L49708,L,298.8,308.6,1730,25.9,59,0,0,0,0,0,0,No Failure,9.800000000000011,4692.178067646595,0.03410404604564135
2530,M17389,M,298.8,308.6,1571,33.7,61,0,0,0,0,0,0,No Failure,9.800000000000011,5544.146579373612,0.03882877123597218
2531,L49710,L,298.9,308.7,1438,51.7,64,0,0,0,0,0,0,No Failure,9.800000000000011,7785.348306469058,0.04450625838312755
2532,M17391,M,298.8,308.5,1510,38.7,66,0,0,0,0,0,0,No Failure,9.699999999999989,6119.5083299275575,0.04370860898206219
2533,L49712,L,298.9,308.7,1389,44.9,69,0,0,0,0,0,0,No Failure,9.800000000000011,6530.962719768212,0.049676025560287794
2534,L49713,L,298.8,308.7,1490,33.6,71,0,0,0,0,0,0,No Failure,9.899999999999977,5242.689820310647,0.04765100639160399
2535,L49714,L,298.9,308.7,1729,26.6,73,0,0,0,0,0,0,No Failure,9.800000000000011,4816.208145610321,0.04222093671358625
2536,L49715,L,299.0,308.8,1495,38.4,75,0,0,0,0,0,0,No Failure,9.800000000000011,6011.7517019094275,0.050167223744700846
2537,L49716,L,298.9,308.8,1281,53.9,77,0,0,0,0,0,0,No Failure,9.900000000000034,7230.469740016517,0.06010928914824911
2538,H31951,H,298.9,308.7,1353,48.1,79,0,0,0,0,0,0,No Failure,9.800000000000011,6815.088359358874,0.058388765274288504
2539,L49718,L,299.1,308.8,1429,50.1,84,0,0,0,0,0,0,No Failure,9.699999999999989,7497.190956306289,0.05878236487905973
2540,L49719,L,299.1,308.8,1413,42.1,86,0,0,0,0,0,0,No Failure,9.699999999999989,6229.495488729737,0.06086341075114359
2541,L49720,L,299.1,308.8,1502,38.3,88,0,0,0,0,0,0,No Failure,9.699999999999989,6024.171464866618,0.058588548211793955
2542,H31955,H,299.1,308.8,1553,32.6,90,0,0,0,0,0,0,No Failure,9.699999999999989,5301.730818247111,0.057952349916597874
2543,H31956,H,299.2,308.9,1712,26.4,95,0,0,0,0,0,0,No Failure,9.699999999999989,4732.997828192239,0.05549065388147983
2544,L49723,L,299.3,309.0,1786,23.5,100,0,0,0,0,0,0,No Failure,9.699999999999989,4395.1928421272405,0.05599104111987099
2545,L49724,L,299.2,309.0,1951,21.4,102,0,0,0,0,0,0,No Failure,9.800000000000011,4372.196383902963,0.05228088133121025
2546,M17405,M,299.2,309.0,1541,36.3,104,0,0,0,0,0,0,No Failure,9.800000000000011,5857.845077810063,0.06748864329987903
2547,L49726,L,299.2,309.1,1605,34.3,107,0,0,0,0,0,0,No Failure,9.900000000000034,5764.97959896995,0.06666666625129804
2548,L49727,L,299.2,309.1,1578,38.1,109,0,0,0,0,0,0,No Failure,9.900000000000034,6295.940173353161,0.06907477776251725
2549,M17408,M,299.3,309.2,1440,37.5,111,0,0,0,0,0,0,No Failure,9.899999999999977,5654.8667764616275,0.07708333279803241
2550,L49729,L,299.4,309.2,1489,42.3,114,0,0,0,0,0,0,No Failure,9.800000000000011,6595.742360285234,0.07656145012383177
2551,L49730,L,299.4,309.3,1366,48.4,116,0,0,0,0,0,0,No Failure,9.900000000000034,6923.483777883233,0.08491947229195115
2552,L49731,L,299.3,309.2,1541,37.2,118,0,0,0,0,0,0,No Failure,9.899999999999977,6003.080906185521,0.07657365297486274
2553,H31966,H,299.3,309.1,1552,40.7,120,0,0,0,0,0,0,No Failure,9.800000000000011,6614.769939790476,0.07731958713067276
2554,L49733,L,299.3,309.1,1473,40.3,125,0,0,0,0,0,0,No Failure,9.800000000000011,6216.363631437731,0.08486082766557483
2555,L49734,L,299.3,309.1,1531,37.9,127,0,0,0,0,0,0,No Failure,9.800000000000011,6076.3533188427455,0.08295231820409982
2556,L49735,L,299.3,309.2,1511,37.2,129,0,0,0,0,0,0,No Failure,9.899999999999977,5886.2136594719805,0.08537392398825994
2557,M17416,M,299.3,309.1,1449,47.9,131,0,0,0,0,0,0,No Failure,9.800000000000011,7268.294515565737,0.09040717673977104
2558,M17417,M,299.4,309.1,1440,50.0,134,0,0,0,0,0,0,No Failure,9.700000000000045,7539.822368615503,0.09305555490933642
2559,M17418,M,299.2,309.0,1881,23.9,137,0,0,0,0,0,0,No Failure,9.800000000000011,4707.770839183912,0.07283359876218183
2560,L49739,L,299.3,309.0,1447,50.4,140,0,0,0,0,0,1,RNF,9.699999999999989,7637.086077170643,0.09675189981512164
2561,M17420,M,299.4,309.1,1326,62.0,142,0,0,0,0,0,0,No Failure,9.700000000000045,8609.220507897468,0.10708898863432136
2562,L49741,L,299.4,309.2,1607,31.7,145,0,0,0,0,0,0,No Failure,9.800000000000011,5334.623293330196,0.09023024212675643
2563,L49742,L,299.3,309.1,1551,39.1,147,0,0,0,0,0,0,No Failure,9.800000000000011,6350.635301452159,0.09477756225159535
2564,L49743,L,299.3,309.1,1496,37.2,149,0,0,0,0,0,0,No Failure,9.800000000000011,5827.78003611521,0.09959892981551517
2565,L49744,L,299.3,309.1,1493,38.0,151,0,0,0,0,0,0,No Failure,9.800000000000011,5941.170586958777,0.10113864634200505
2566,L49745,L,299.4,309.1,1304,50.5,153,0,0,0,0,0,0,No Failure,9.700000000000045,6896.005314139836,0.11733128744377848
2567,M17426,M,299.3,309.0,1420,41.6,155,0,0,0,0,0,0,No Failure,9.699999999999989,6186.0053744285415,0.1091549288087681
2568,L49747,L,299.4,309.1,1766,24.6,158,0,0,0,0,0,0,No Failure,9.700000000000045,4549.403153516451,0.08946772316269692
2569,L49748,L,299.6,309.2,1450,43.1,160,0,0,0,0,0,0,No Failure,9.599999999999966,6544.4610962031375,0.11034482682520809
2570,H31983,H,299.5,309.2,1872,22.6,162,0,0,0,0,0,0,No Failure,9.699999999999989,4430.39962379847,0.08653846107618343
2571,L49750,L,299.6,309.2,1713,26.5,167,0,0,0,0,0,0,No Failure,9.599999999999966,4753.700923779395,0.09748978343555292
2572,M17431,M,299.5,309.2,1497,40.9,169,0,0,0,0,0,0,No Failure,9.699999999999989,6411.707862637944,0.1128924508156817
2573,M17432,M,299.4,309.1,1352,44.7,172,0,0,0,0,0,0,No Failure,9.700000000000045,6328.675568803567,0.12721893397027417
2574,L49753,L,299.5,309.2,1499,41.5,175,0,0,0,0,0,0,No Failure,9.699999999999989,6514.458886361354,0.1167444955520714
2575,L49754,L,299.5,309.3,1972,19.3,177,0,0,0,0,0,0,No Failure,9.800000000000011,3985.591991952203,0.08975659183693412
2576,L49755,L,299.5,309.3,1422,49.2,179,0,0,0,0,0,0,No Failure,9.800000000000011,7326.445395583684,0.12587904271533726
2577,L49756,L,299.5,309.3,1523,41.5,181,0,0,0,0,0,0,No Failure,9.800000000000011,6618.759762460536,0.11884438529977423
2578,L49757,L,299.5,309.4,1563,41.5,183,0,0,0,0,0,0,No Failure,9.899999999999977,6792.594555959171,0.11708253284016294
2579,L49758,L,299.4,309.3,1391,46.6,185,0,0,0,0,0,0,No Failure,9.900000000000034,6787.997358709417,0.13299784232208597
2580,L49759,L,299.3,309.1,1795,24.7,187,0,0,0,0,0,0,No Failure,9.800000000000011,4642.907422862795,0.10417827240012105
2581,L49760,L,299.3,309.1,1293,53.7,189,0,0,0,0,0,0,No Failure,9.800000000000011,7271.121948953968,0.14617169260501398
2582,L49761,L,299.2,309.1,1345,60.7,191,1,0,0,0,1,0,OSF,9.900000000000034,8549.477887601703,0.14200743388842058
2583,L49762,L,299.2,309.0,1615,33.7,193,0,0,0,0,0,0,No Failure,9.800000000000011,5699.425032265043,0.11950464322288147
2584,L49763,L,299.2,308.9,1342,50.8,195,0,0,0,0,0,0,No Failure,9.699999999999989,7139.122697625637,0.14530551307521972
2585,L49764,L,299.1,308.8,1502,46.7,197,0,0,0,0,0,0,No Failure,9.699999999999989,7345.399671260343,0.1311584545195842
2586,M17445,M,299.0,308.7,1620,35.4,199,0,0,0,0,0,0,No Failure,9.699999999999989,6005.468516602248,0.12283950541457096
2587,L49766,L,299.0,308.7,1537,42.8,202,0,0,0,0,0,0,No Failure,9.699999999999989,6888.84248288965,0.13142485275585652
2588,L49767,L,299.0,308.7,2248,16.8,204,0,0,0,0,0,0,No Failure,9.699999999999989,3954.888159751119,0.0907473305571738
2589,L49768,L,299.0,308.7,1706,28.6,206,0,0,0,0,0,0,No Failure,9.699999999999989,5109.444403896391,0.12075029237543791
2590,L49769,L,299.0,308.7,2250,16.6,208,0,0,0,0,0,0,No Failure,9.699999999999989,3911.2828537192927,0.09244444403358024
2591,L49770,L,299.0,308.7,1396,48.6,0,0,0,0,0,0,0,No Failure,9.699999999999989,7104.774617946389,0.0
2592,L49771,L,298.9,308.6,1522,46.4,2,0,0,0,0,0,0,No Failure,9.700000000000045,7395.392882354468,0.0013140604381467777
2593,L49772,L,298.9,308.6,1539,45.4,4,0,0,0,0,0,0,No Failure,9.700000000000045,7316.832122063699,0.002599090301500388
2594,H32007,H,298.9,308.5,1415,54.0,6,0,0,0,0,0,0,No Failure,9.600000000000023,8001.636488693203,0.004240282655545706
2595,L49774,L,298.8,308.5,1446,37.0,11,0,0,0,0,0,0,No Failure,9.699999999999989,5602.716338412037,0.007607192201886638
2596,M17455,M,298.8,308.6,1486,41.1,13,0,0,0,0,0,0,No Failure,9.800000000000011,6395.717156031173,0.008748317572353179
2597,L49776,L,299.0,308.7,1426,38.6,16,0,0,0,0,0,0,No Failure,9.699999999999989,5764.1523129045045,0.011220196274753182
2598,L49777,L,299.0,308.7,1449,38.9,18,0,0,0,0,0,0,No Failure,9.699999999999989,5902.644189050254,0.01242236016271663
2599,L49778,L,299.1,308.8,1320,67.5,20,1,0,0,1,0,0,PWF,9.699999999999989,9330.530181161685,0.015151515036730947
2600,M17459,M,299.2,308.9,1447,39.6,22,0,0,0,0,0,0,No Failure,9.699999999999989,6000.567632062648,0.015203869970947685
2601,L49780,L,299.3,309.0,1422,47.3,25,0,0,0,0,0,0,No Failure,9.699999999999989,7043.513561201387,0.017580871887616936
2602,L49781,L,299.3,309.1,1399,52.1,27,0,0,0,0,0,0,No Failure,9.800000000000011,7632.803039186249,0.019299499504649754
2603,L49782,L,299.4,309.2,1427,41.5,29,0,0,0,0,0,0,No Failure,9.800000000000011,6201.556258063812,0.02032235444763592
2604,M17463,M,299.3,309.2,1334,46.3,31,0,0,0,0,0,0,No Failure,9.899999999999977,6467.931899161689,0.02323838063539445
2605,M17464,M,299.3,309.1,1385,45.6,34,0,0,0,0,0,0,No Failure,9.800000000000011,6613.680854337232,0.02454873628484667
2606,L49785,L,299.4,309.2,1552,37.4,37,0,0,0,0,0,0,No Failure,9.800000000000011,6078.4372419696265,0.023840206031957436
2607,H32020,H,299.4,309.3,1534,37.5,39,0,0,0,0,0,0,No Failure,9.900000000000034,6024.003913258428,0.025423728647824453
2608,L49787,L,299.4,309.3,1448,48.6,44,0,0,0,0,0,0,No Failure,9.900000000000034,7369.422383084793,0.030386740121638535
2609,L49788,L,299.5,309.3,1409,44.7,46,0,0,0,0,0,0,No Failure,9.800000000000011,6595.4910328729475,0.032647267333944165
2610,L49789,L,299.4,309.2,1621,34.5,48,0,0,0,0,0,0,No Failure,9.800000000000011,5856.399945189412,0.029611350835216838
2611,H32024,H,299.4,309.1,1547,40.9,50,0,0,0,0,0,0,No Failure,9.700000000000045,6625.859761857649,0.032320620346990174
2612,L49791,L,299.4,309.1,1957,22.1,55,0,0,0,0,0,0,No Failure,9.700000000000045,4529.097992998749,0.028104241041879197
2613,L49792,L,299.4,309.1,2421,14.2,57,0,0,0,0,0,0,No Failure,9.700000000000045,3600.0766854546873,0.023543989989491986
2614,M17473,M,299.3,309.1,1571,38.3,59,0,0,0,0,0,0,No Failure,9.800000000000011,6300.914361721344,0.03755569676921899
2615,L49794,L,299.3,309.1,1634,36.8,62,0,0,0,0,0,0,No Failure,9.800000000000011,6296.924539051285,0.037943696218214834
2616,L49795,L,299.3,309.0,1516,38.7,64,0,0,0,0,0,0,No Failure,9.699999999999989,6143.824257066343,0.04221635856057811
2617,L49796,L,299.4,309.1,1207,66.5,66,0,0,0,0,0,0,No Failure,9.700000000000045,8405.38350455705,0.05468102688748114
2618,L49797,L,299.4,309.1,1670,35.9,68,0,0,0,0,0,0,No Failure,9.700000000000045,6278.263478688962,0.04071856263042777
2619,M17478,M,299.4,309.1,1461,48.6,70,0,0,0,0,0,0,No Failure,9.700000000000045,7435.584324369394,0.04791238844686935
2620,L49799,L,299.4,309.2,1569,40.8,73,0,0,0,0,0,0,No Failure,9.800000000000011,6703.656067936044,0.04652644967159688
2621,L49800,L,299.4,309.2,1556,35.7,75,0,0,0,0,0,0,No Failure,9.800000000000011,5817.098621093004,0.04820051382904554
2622,M17481,M,299.5,309.3,1506,41.5,77,0,0,0,0,0,0,No Failure,9.800000000000011,6544.8799752236155,0.0511288177215882
2623,M17482,M,299.6,309.4,1642,30.3,80,0,0,0,0,0,0,No Failure,9.799999999999955,5210.080088566385,0.048721071566863144
2624,M17483,M,299.6,309.4,1283,62.1,83,0,0,0,0,0,0,No Failure,9.799999999999955,8343.47318533031,0.06469212732118373
2625,H32038,H,299.7,309.5,1375,46.8,86,0,0,0,0,0,0,No Failure,9.800000000000011,6738.716241950106,0.06254545409057852
2626,L49805,L,299.7,309.4,1399,39.9,91,0,0,0,0,0,0,No Failure,9.699999999999989,5845.4672027549195,0.06504646129344917
2627,L49806,L,299.7,309.4,1650,29.8,93,0,0,0,0,0,0,No Failure,9.699999999999989,5149.07035923367,0.05636363602203857
2628,M17487,M,299.8,309.6,1346,53.2,95,0,0,0,0,0,0,No Failure,9.800000000000011,7498.688448804502,0.0705794942750409
2629,H32042,H,299.9,309.6,1410,51.2,98,0,0,0,0,0,0,No Failure,9.700000000000045,7559.928561598477,0.06950354560635784
2630,L49809,L,300.0,309.7,1586,37.8,103,0,0,0,0,0,0,No Failure,9.699999999999989,6278.033095227698,0.06494325305836536
2631,L49810,L,300.0,309.8,1372,39.6,105,0,0,0,0,0,0,No Failure,9.800000000000011,5689.549959357259,0.07653061168709467
2632,H32045,H,300.0,309.7,1529,42.4,107,0,0,0,0,0,0,No Failure,9.699999999999989,6788.939836505494,0.06998037887521008
2633,M17492,M,300.0,309.7,1652,28.6,112,0,0,0,0,0,0,No Failure,9.699999999999989,4947.715214089589,0.06779660975910043
2634,L49813,L,300.1,309.8,1532,39.8,115,0,0,0,0,0,0,No Failure,9.699999999999989,6385.140460764086,0.07506527366145382
2635,L49814,L,300.0,309.7,1554,32.0,117,0,0,0,0,0,0,No Failure,9.699999999999989,5207.5039825904405,0.0752895748050864
2636,H32049,H,299.9,309.6,1462,51.0,119,0,0,0,0,0,0,No Failure,9.700000000000045,7808.114381232071,0.08139534828046957
2637,L49816,L,299.9,309.6,1254,61.3,124,0,0,0,0,0,0,No Failure,9.700000000000045,8049.828519999271,0.09888357177923787
2638,L49817,L,299.9,309.6,1294,49.7,126,0,0,0,0,0,0,No Failure,9.700000000000045,6734.715947304536,0.09737248765554492
2639,L49818,L,299.8,309.5,1739,27.5,128,0,0,0,0,0,0,No Failure,9.699999999999989,5007.960489209929,0.07360551999076757
2640,M17499,M,299.8,309.4,1412,47.8,130,0,0,0,0,0,0,No Failure,9.599999999999966,7067.9132641442675,0.09206798801651567
2641,M17500,M,299.9,309.5,1372,56.2,133,0,0,0,0,0,0,No Failure,9.600000000000023,8074.5633261585335,0.09693877480365325
2642,H32055,H,299.8,309.5,1420,46.7,136,0,0,0,0,0,0,No Failure,9.699999999999989,6944.385841005118,0.0957746472128546
2643,L49822,L,299.8,309.5,1542,40.3,141,0,0,0,0,0,0,No Failure,9.699999999999989,6507.557854498969,0.09143968812295922
2644,M17503,M,299.8,309.4,1401,48.1,143,0,0,0,0,0,0,No Failure,9.599999999999966,7056.865329979144,0.10206994930713813
2645,L49824,L,299.8,309.4,1510,42.5,146,0,0,0,0,0,0,No Failure,9.599999999999966,6720.390284804165,0.09668874108153151
2646,H32059,H,299.9,309.5,1547,38.5,148,0,0,0,0,0,0,No Failure,9.600000000000023,6237.056255049376,0.09566903622709091
2647,M17506,M,299.8,309.5,1453,43.2,153,0,0,0,0,0,0,No Failure,9.699999999999989,6573.217140958996,0.10529937986717564
2648,L49827,L,299.8,309.4,1408,45.6,156,0,0,0,0,0,0,No Failure,9.599999999999966,6723.510933506731,0.11079545375855501
2649,L49828,L,299.8,309.4,1436,51.6,158,0,0,0,0,0,0,No Failure,9.599999999999966,7759.482526954502,0.11002785438699265
2650,M17509,M,299.9,309.5,1582,38.2,160,0,0,0,0,0,0,No Failure,9.600000000000023,6328.466129293328,0.1011377996135411
2651,L49830,L,299.9,309.6,1280,59.3,163,0,0,0,0,0,0,No Failure,9.700000000000045,7948.648292602655,0.12734374900512696
2652,L49831,L,299.9,309.5,2008,20.4,165,0,0,0,0,0,0,No Failure,9.600000000000023,4289.656272917647,0.08217131433181617
2653,L49832,L,299.9,309.5,1772,23.5,167,0,0,0,0,0,0,No Failure,9.600000000000023,4360.7400426928725,0.09424379179320659
2654,L49833,L,299.9,309.5,1779,26.1,169,0,0,0,0,0,0,No Failure,9.600000000000023,4862.33719774053,0.09499718889827326
2655,L49834,L,299.9,309.5,1567,35.5,171,0,0,0,0,0,0,No Failure,9.600000000000023,5825.402897673994,0.10912571723595586
2656,M17515,M,299.8,309.4,1751,27.0,173,0,0,0,0,0,0,No Failure,9.599999999999966,4950.835862792155,0.09880068475841985
2657,L49836,L,299.9,309.5,1349,51.3,176,0,0,0,0,0,0,No Failure,9.600000000000023,7246.994517374398,0.13046701163478866
2658,M17517,M,300.0,309.5,1425,40.8,178,0,0,0,0,0,0,No Failure,9.5,6088.406562657019,0.12491227982517698
2659,L49838,L,300.0,309.4,1395,44.5,181,0,0,0,0,0,0,No Failure,9.399999999999977,6500.740598440679,0.12974910301255124
2660,H32073,H,299.8,309.3,1595,32.1,183,0,0,0,0,0,0,No Failure,9.5,5361.599102249021,0.11473354160041667
2661,L49840,L,299.8,309.3,1291,56.4,188,0,0,0,0,0,0,No Failure,9.5,7624.896697674714,0.14562354650950002
2662,M17521,M,299.9,309.4,1509,42.8,190,0,0,0,0,0,0,No Failure,9.5,6763.34632835425,0.125911198635446
2663,M17522,M,299.9,309.4,1483,38.1,193,0,0,0,0,0,0,No Failure,9.5,5916.907019697552,0.13014160397746727
2664,L49843,L,299.9,309.3,1620,31.1,196,0,0,0,0,0,0,No Failure,9.400000000000034,5275.9907024386985,0.12098765357415028
2665,M17524,M,299.9,309.4,1487,42.2,198,0,0,0,0,0,0,No Failure,9.5,6571.311241415818,0.133154000449536
2666,L49845,L,299.8,309.4,2256,15.9,201,0,0,0,0,0,0,No Failure,9.599999999999966,3756.3395040442438,0.08909574428592311
